Series Code,Topic,Indicator Name
BAR.POP.4044,Attainment,"Barro-Lee: Population in thousands, age 40-44, total"
BAR.POP.4044.FE,Attainment,"Barro-Lee: Population in thousands, age 40-44, female"
BAR.POP.4549,Attainment,"Barro-Lee: Population in thousands, age 45-49, total"
BAR.POP.4549.FE,Attainment,"Barro-Lee: Population in thousands, age 45-49, female"
BAR.POP.5054,Attainment,"Barro-Lee: Population in thousands, age 50-54, total"
BAR.POP.5054.FE,Attainment,"Barro-Lee: Population in thousands, age 50-54, female"
BAR.POP.5559,Attainment,"Barro-Lee: Population in thousands, age 55-59, total"
BAR.POP.5559.FE,Attainment,"Barro-Lee: Population in thousands, age 55-59, female"
BAR.POP.6064,Attainment,"Barro-Lee: Population in thousands, age 60-64, total"
BAR.POP.6064.FE,Attainment,"Barro-Lee: Population in thousands, age 60-64, female"
BAR.POP.6569,Attainment,"Barro-Lee: Population in thousands, age 65-69, total"
BAR.POP.6569.FE,Attainment,"Barro-Lee: Population in thousands, age 65-69, female"
BAR.POP.7074,Attainment,"Barro-Lee: Population in thousands, age 70-74, total"
BAR.POP.7074.FE,Attainment,"Barro-Lee: Population in thousands, age 70-74, female"
BAR.POP.75UP,Attainment,"Barro-Lee: Population in thousands, age 75+, total"
BAR.POP.75UP.FE,Attainment,"Barro-Lee: Population in thousands, age 75+, female"
BAR.PRM.CMPT.1519.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 15-19 with primary schooling. Completed Primary
BAR.PRM.CMPT.1519.ZS,Attainment,Barro-Lee: Percentage of population age 15-19 with primary schooling. Completed Primary
BAR.PRM.CMPT.15UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary
BAR.PRM.CMPT.15UP.ZS,Attainment,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary
BAR.PRM.CMPT.2024.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 20-24 with primary schooling. Completed Primary
BAR.PRM.CMPT.2024.ZS,Attainment,Barro-Lee: Percentage of population age 20-24 with primary schooling. Completed Primary
BAR.PRM.CMPT.2529.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 25-29 with primary schooling. Completed Primary
BAR.PRM.CMPT.2529.ZS,Attainment,Barro-Lee: Percentage of population age 25-29 with primary schooling. Completed Primary
BAR.PRM.CMPT.25UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 25+ with primary schooling. Completed Primary
BAR.PRM.CMPT.25UP.ZS,Attainment,Barro-Lee: Percentage of population age 25+ with primary schooling. Completed Primary
BAR.PRM.CMPT.3034.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 30-34 with primary schooling. Completed Primary
BAR.PRM.CMPT.3034.ZS,Attainment,Barro-Lee: Percentage of population age 30-34 with primary schooling. Completed Primary
BAR.PRM.CMPT.3539.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 35-39 with primary schooling. Completed Primary
BAR.PRM.CMPT.3539.ZS,Attainment,Barro-Lee: Percentage of population age 35-39 with primary schooling. Completed Primary
BAR.PRM.CMPT.4044.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 40-44 with primary schooling. Completed Primary
BAR.PRM.CMPT.4044.ZS,Attainment,Barro-Lee: Percentage of population age 40-44 with primary schooling. Completed Primary
BAR.PRM.CMPT.4549.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 45-49 with primary schooling. Completed Primary
BAR.PRM.CMPT.4549.ZS,Attainment,Barro-Lee: Percentage of population age 45-49 with primary schooling. Completed Primary
BAR.PRM.CMPT.5054.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 50-54 with primary schooling. Completed Primary
BAR.PRM.CMPT.5054.ZS,Attainment,Barro-Lee: Percentage of population age 50-54 with primary schooling. Completed Primary
BAR.PRM.CMPT.5559.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 55-59 with primary schooling. Completed Primary
BAR.PRM.CMPT.5559.ZS,Attainment,Barro-Lee: Percentage of population age 55-59 with primary schooling. Completed Primary
BAR.PRM.CMPT.6064.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 60-64 with primary schooling. Completed Primary
BAR.PRM.CMPT.6064.ZS,Attainment,Barro-Lee: Percentage of population age 60-64 with primary schooling. Completed Primary
BAR.PRM.CMPT.6569.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 65-69 with primary schooling. Completed Primary
BAR.PRM.CMPT.6569.ZS,Attainment,Barro-Lee: Percentage of population age 65-69 with primary schooling. Completed Primary
BAR.PRM.CMPT.7074.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 70-74 with primary schooling. Completed Primary
BAR.PRM.CMPT.7074.ZS,Attainment,Barro-Lee: Percentage of population age 70-74 with primary schooling. Completed Primary
BAR.PRM.CMPT.75UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 75+ with primary schooling. Completed Primary
BAR.PRM.CMPT.75UP.ZS,Attainment,Barro-Lee: Percentage of population age 75+ with primary schooling. Completed Primary
BAR.PRM.ICMP.1519.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.1519.ZS,Attainment,Barro-Lee: Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.15UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.15UP.ZS,Attainment,Barro-Lee: Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.2024.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.2024.ZS,Attainment,Barro-Lee: Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.2529.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.2529.ZS,Attainment,Barro-Lee: Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.25UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.25UP.ZS,Attainment,Barro-Lee: Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.3034.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.3034.ZS,Attainment,Barro-Lee: Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.3539.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.3539.ZS,Attainment,Barro-Lee: Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.4044.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.4044.ZS,Attainment,Barro-Lee: Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.4549.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.4549.ZS,Attainment,Barro-Lee: Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.5054.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.5054.ZS,Attainment,Barro-Lee: Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.5559.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.5559.ZS,Attainment,Barro-Lee: Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.6064.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 60-64 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.6064.ZS,Attainment,Barro-Lee: Percentage of population age 60-64 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.6569.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 65-69 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.6569.ZS,Attainment,Barro-Lee: Percentage of population age 65-69 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.7074.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 70-74 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.7074.ZS,Attainment,Barro-Lee: Percentage of population age 70-74 with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.75UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 75+ with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.ICMP.75UP.ZS,Attainment,Barro-Lee: Percentage of population age 75+ with primary schooling. Total (Incomplete and Completed Primary)
BAR.PRM.SCHL.1519,Attainment,"Barro-Lee: Average years of primary schooling, age 15-19, total"
BAR.PRM.SCHL.1519.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 15-19, female"
BAR.PRM.SCHL.15UP,Attainment,"Barro-Lee: Average years of primary schooling, age 15+, total"
BAR.PRM.SCHL.15UP.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 15+, female"
BAR.PRM.SCHL.2024,Attainment,"Barro-Lee: Average years of primary schooling, age 20-24, total"
BAR.PRM.SCHL.2024.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 20-24, female"
BAR.PRM.SCHL.2529,Attainment,"Barro-Lee: Average years of primary schooling, age 25-29, total"
BAR.PRM.SCHL.2529.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 25-29, female"
BAR.PRM.SCHL.25UP,Attainment,"Barro-Lee: Average years of primary schooling, age 25+, total"
BAR.PRM.SCHL.25UP.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 25+, female"
BAR.PRM.SCHL.3034,Attainment,"Barro-Lee: Average years of primary schooling, age 30-34, total"
BAR.PRM.SCHL.3034.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 30-34, female"
BAR.PRM.SCHL.3539,Attainment,"Barro-Lee: Average years of primary schooling, age 35-39, total"
BAR.PRM.SCHL.3539.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 35-39, female"
BAR.PRM.SCHL.4044,Attainment,"Barro-Lee: Average years of primary schooling, age 40-44, total"
BAR.PRM.SCHL.4044.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 40-44, female"
BAR.PRM.SCHL.4549,Attainment,"Barro-Lee: Average years of primary schooling, age 45-49, total"
BAR.PRM.SCHL.4549.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 45-49, female"
BAR.PRM.SCHL.5054,Attainment,"Barro-Lee: Average years of primary schooling, age 50-54, total"
BAR.PRM.SCHL.5054.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 50-54, female"
BAR.PRM.SCHL.5559,Attainment,"Barro-Lee: Average years of primary schooling, age 55-59, total"
BAR.PRM.SCHL.5559.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 55-59, female"
BAR.PRM.SCHL.6064,Attainment,"Barro-Lee: Average years of primary schooling, age 60-64, total"
BAR.PRM.SCHL.6064.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 60-64, female"
BAR.PRM.SCHL.6569,Attainment,"Barro-Lee: Average years of primary schooling, age 65-69, total"
BAR.PRM.SCHL.6569.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 65-69, female"
BAR.PRM.SCHL.7074,Attainment,"Barro-Lee: Average years of primary schooling, age 70-74, total"
BAR.PRM.SCHL.7074.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 70-74, female"
BAR.PRM.SCHL.75UP,Attainment,"Barro-Lee: Average years of primary schooling, age 75+, total"
BAR.PRM.SCHL.75UP.FE,Attainment,"Barro-Lee: Average years of primary schooling, age 75+, female"
BAR.SCHL.1519,Attainment,"Barro-Lee: Average years of total schooling, age 15-19, total"
BAR.SCHL.1519.FE,Attainment,"Barro-Lee: Average years of total schooling, age 15-19, female"
BAR.SCHL.15UP,Attainment,"Barro-Lee: Average years of total schooling, age 15+, total"
BAR.SCHL.15UP.FE,Attainment,"Barro-Lee: Average years of total schooling, age 15+, female"
BAR.SCHL.2024,Attainment,"Barro-Lee: Average years of total schooling, age 20-24, total"
BAR.SCHL.2024.FE,Attainment,"Barro-Lee: Average years of total schooling, age 20-24, female"
BAR.SCHL.2529,Attainment,"Barro-Lee: Average years of total schooling, age 25-29, total"
BAR.SCHL.2529.FE,Attainment,"Barro-Lee: Average years of total schooling, age 25-29, female"
BAR.SCHL.25UP,Attainment,"Barro-Lee: Average years of total schooling, age 25+, total"
BAR.SCHL.25UP.FE,Attainment,"Barro-Lee: Average years of total schooling, age 25+, female"
BAR.SCHL.3034,Attainment,"Barro-Lee: Average years of total schooling, age 30-34, total"
BAR.SCHL.3034.FE,Attainment,"Barro-Lee: Average years of total schooling, age 30-34, female"
BAR.SCHL.3539,Attainment,"Barro-Lee: Average years of total schooling, age 35-39, total"
BAR.SCHL.3539.FE,Attainment,"Barro-Lee: Average years of total schooling, age 35-39, female"
BAR.SCHL.4044,Attainment,"Barro-Lee: Average years of total schooling, age 40-44, total"
BAR.SCHL.4044.FE,Attainment,"Barro-Lee: Average years of total schooling, age 40-44, female"
BAR.SCHL.4549,Attainment,"Barro-Lee: Average years of total schooling, age 45-49, total"
BAR.SCHL.4549.FE,Attainment,"Barro-Lee: Average years of total schooling, age 45-49, female"
BAR.SCHL.5054,Attainment,"Barro-Lee: Average years of total schooling, age 50-54, total"
BAR.SCHL.5054.FE,Attainment,"Barro-Lee: Average years of total schooling, age 50-54, female"
BAR.SCHL.5559,Attainment,"Barro-Lee: Average years of total schooling, age 55-59, total"
BAR.SCHL.5559.FE,Attainment,"Barro-Lee: Average years of total schooling, age 55-59, female"
BAR.SCHL.6064,Attainment,"Barro-Lee: Average years of total schooling, age 60-64, total"
BAR.SCHL.6064.FE,Attainment,"Barro-Lee: Average years of total schooling, age 60-64, female"
BAR.SCHL.6569,Attainment,"Barro-Lee: Average years of total schooling, age 65-69, total"
BAR.SCHL.6569.FE,Attainment,"Barro-Lee: Average years of total schooling, age 65-69, female"
BAR.SCHL.7074,Attainment,"Barro-Lee: Average years of total schooling, age 70-74, total"
BAR.SCHL.7074.FE,Attainment,"Barro-Lee: Average years of total schooling, age 70-74, female"
BAR.SCHL.75UP,Attainment,"Barro-Lee: Average years of total schooling, age 75+, total"
BAR.SCHL.75UP.FE,Attainment,"Barro-Lee: Average years of total schooling, age 75+, female"
BAR.SEC.CMPT.1519.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.1519.ZS,Attainment,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.15UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 15+ with secondary schooling. Completed Secondary
BAR.SEC.CMPT.15UP.ZS,Attainment,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary
BAR.SEC.CMPT.2024.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.2024.ZS,Attainment,Barro-Lee: Percentage of population age 20-24 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.2529.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.2529.ZS,Attainment,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.25UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 25+ with secondary schooling. Completed Secondary
BAR.SEC.CMPT.25UP.ZS,Attainment,Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary
BAR.SEC.CMPT.3034.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.3034.ZS,Attainment,Barro-Lee: Percentage of population age 30-34 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.3539.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.3539.ZS,Attainment,Barro-Lee: Percentage of population age 35-39 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.4044.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.4044.ZS,Attainment,Barro-Lee: Percentage of population age 40-44 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.4549.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.4549.ZS,Attainment,Barro-Lee: Percentage of population age 45-49 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.5054.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.5054.ZS,Attainment,Barro-Lee: Percentage of population age 50-54 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.5559.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.5559.ZS,Attainment,Barro-Lee: Percentage of population age 55-59 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.6064.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.6064.ZS,Attainment,Barro-Lee: Percentage of population age 60-64 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.6569.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.6569.ZS,Attainment,Barro-Lee: Percentage of population age 65-69 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.7074.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.7074.ZS,Attainment,Barro-Lee: Percentage of population age 70-74 with secondary schooling. Completed Secondary
BAR.SEC.CMPT.75UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 75+ with secondary schooling. Completed Secondary
BAR.SEC.CMPT.75UP.ZS,Attainment,Barro-Lee: Percentage of population age 75+ with secondary schooling. Completed Secondary
BAR.SEC.ICMP.1519.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.1519.ZS,Attainment,Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.15UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.15UP.ZS,Attainment,Barro-Lee: Percentage of population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.2024.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.2024.ZS,Attainment,Barro-Lee: Percentage of population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.2529.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.2529.ZS,Attainment,Barro-Lee: Percentage of population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.25UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.25UP.ZS,Attainment,Barro-Lee: Percentage of population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.3034.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.3034.ZS,Attainment,Barro-Lee: Percentage of population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.3539.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.3539.ZS,Attainment,Barro-Lee: Percentage of population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.4044.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.4044.ZS,Attainment,Barro-Lee: Percentage of population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.4549.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.4549.ZS,Attainment,Barro-Lee: Percentage of population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.5054.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.5054.ZS,Attainment,Barro-Lee: Percentage of population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.5559.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.5559.ZS,Attainment,Barro-Lee: Percentage of population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.6064.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.6064.ZS,Attainment,Barro-Lee: Percentage of population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.6569.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.6569.ZS,Attainment,Barro-Lee: Percentage of population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.7074.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.7074.ZS,Attainment,Barro-Lee: Percentage of population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.75UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.ICMP.75UP.ZS,Attainment,Barro-Lee: Percentage of population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary)
BAR.SEC.SCHL.1519,Attainment,"Barro-Lee: Average years of secondary schooling, age 15-19, total"
BAR.SEC.SCHL.1519.FE,Attainment,"Barro-Lee: Average years of secondary schooling, age 15-19, female"
BAR.SEC.SCHL.15UP,Attainment,"Barro-Lee: Average years of secondary schooling, age 15+, total"
BAR.SEC.SCHL.15UP.FE,Attainment,"Barro-Lee: Average years of secondary schooling, age 15+, female"
BAR.SEC.SCHL.2024,Attainment,"Barro-Lee: Average years of secondary schooling, age 20-24, total"
BAR.SEC.SCHL.2024.FE,Attainment,"Barro-Lee: Average years of secondary schooling, age 20-24, female"
BAR.SEC.SCHL.2529,Attainment,"Barro-Lee: Average years of secondary schooling, age 25-29, total"
BAR.SEC.SCHL.2529.FE,Attainment,"Barro-Lee: Average years of secondary schooling, age 25-29, female"
